MNI_X	MNI_Y	MNI_Z
18.55	-1.24	-30.59
22.26	-0.82	-29.38
25.96	-0.45	-28.09
29.83	-0.12	-26.98
33.5	0.14	-25.89
37.23	0.39	-24.99
40.97	0.31	-24.52
44.67	-0.22	-24.7
48.56	-0.64	-24.85
52.37	-0.79	-24.51
55.96	-0.7	-23.54
59.45	-0.44	-22.36
24.55	-18.36	-20.34
28.19	-18.35	-19.76
31.84	-18.46	-19.36
35.55	-18.68	-19.01
39.37	-18.69	-18.52
54.61	-19.07	-17.43
58.27	-19.12	-17.17
62.03	-19.16	-16.83
65.92	-19.19	-16.34
12.43	-54.55	-2.44
15.83	-55.25	-1.74
19.19	-55.83	-0.82
22.54	-56.27	0.42
25.89	-56.64	2.05
29.37	-57.05	3.67
33.22	-57.49	5.17
37.51	-58.13	6.5
41.48	-58.76	7.51
45.44	-59.43	8.39
49.47	-60.09	9.24
53.42	-60.71	10.04
57.23	-61.32	10.84
13.48	-55.68	3.64
16.89	-56.53	3.4
20.33	-57.27	3.29
23.78	-57.81	3.75
27.48	-58.33	4.39
31.41	-58.89	4.99
35.67	-59.54	5.59
39.76	-60.21	5.75
43.79	-60.82	5.69
47.91	-61.53	5.54
52.03	-62.19	5.31
56.07	-62.86	4.98
13.74	-62.89	-4.46
17.32	-63.78	-3.95
20.88	-64.62	-3.33
24.46	-65.43	-2.27
28.05	-66.24	-0.88
31.56	-67.07	0.31
35.07	-67.85	1.07
38.72	-68.48	1.47
42.66	-69.01	1.7
46.72	-69.61	1.97
50.81	-70.3	2.26
38.67	-42.44	12.95
41.17	-45.72	13.07
43.09	-49.07	13.01
44.77	-52.51	12.76
46.53	-55.85	12.49
48.58	-59.03	12.2
50.89	-62.31	11.85
53.18	-65.53	11.66
55.57	-68.8	11.33
40.54	-42.12	12.57
44.03	-40.19	12.54
47.17	-38.18	12.38
50.28	-36.17	12.21
53.46	-34.58	11.64
56.62	-33.6	10.76
59.89	-32.74	9.59
63.12	-31.76	8.96
66.63	-30.59	8.86
19.27	-36.41	-13.78
22.68	-36.23	-12.54
26.2	-35.86	-11.12
29.81	-35.43	-9.66
33.63	-35.26	-8.52
37.56	-35.24	-7.7
55.75	-35.89	-5.58
59.37	-35.9	-4.57
63.02	-35.78	-3.27
66.63	-35.54	-1.75
70.46	-35.3	-0.26
30.85	-22.31	18.26
34.7	-22.27	19.09
38.38	-22.36	19.79
42.01	-22.38	20.53
45.63	-22.32	21.34
49.25	-22.25	22.3
52.84	-22.22	23.33
56.4	-22.36	24.22
59.91	-22.58	25.02
63.42	-22.66	25.86
67.24	-22.59	26.75
23.29	-48.3	1.05
26.94	-47.98	2.71
31	-47.85	4.64
35.41	-47.79	6.64
39.97	-47.62	8.48
44.29	-47.39	10.13
48	-47.09	11.58
51.39	-46.82	12.85
54.56	-46.72	14.04
57.78	-46.69	15.11
61.06	-46.79	16.14
64.65	-46.94	17.17
36.8	-53.26	15.11
40.52	-54.29	16.6
44.21	-55.2	18.1
47.77	-56.02	19.46
51.24	-56.78	20.74
54.67	-57.48	22.06
58.11	-58.15	23.42
3.25	-16.76	54.56
6.81	-16.44	54.68
10.46	-16.05	54.9
14.04	-15.7	55.48
17.7	-15.47	56.01
21.41	-15.39	56.63
25.3	-15.61	57.34
29.19	-15.82	58.14
33	-15.49	58.82
36.73	-14.56	59.37
40.57	-13.63	59.46
44.57	-12.84	59.29
3.33	-33.6	47.44
7.15	-34.27	47.36
10.98	-34.82	47.4
14.88	-35.04	47.87
18.63	-34.84	48.83
22.3	-34.76	49.99
26.09	-34.99	51.16
30	-35.49	52.34
33.96	-35.85	53.15
37.88	-35.73	53.94
41.69	-35.26	54.43
45.45	-35.02	54.73
49.37	-35.06	54.91
53.28	-35.35	55.03
38.42	-45.23	27.36
41.74	-45.98	29.58
44.66	-46.44	32.01
47.55	-46.84	34.39
50.61	-47.29	36.53
53.74	-47.84	38.58
56.95	-48.37	40.5
60.24	-49	42.54
28.01	-48.26	10.59
30.35	-50.48	13.28
32.49	-52.61	15.73
34.4	-54.94	18.12
36.24	-57.4	20.56
38.07	-59.92	23.15
40.17	-62.48	25.7
42.54	-65.1	28.19
44.84	-67.61	30.58
47.22	-70.12	33.09
32.7	-46.85	0.96
33.21	-50.44	3.15
33.74	-53.86	5.19
34.32	-57.16	7.04
35.07	-60.44	8.93
35.95	-63.73	10.92
37.22	-66.98	13.1
38.4	-70.23	15.29
39.07	-73.41	17.37
39.63	-76.65	19.45
40.49	-80.06	21.45
41.71	-83.45	23.48
21.51	-25.79	24.38
24.24	-26.16	28.12
33.69	-26.66	43.93
35.92	-26.46	47.64
38.24	-26.19	51.1
40.67	-26.03	54.41
43.4	-26.14	57.31
46.39	-26.53	59.96
